date,holiday_name,is_holiday,holiday_key
2020-07-14,None,0,0
2020-09-23,None,0,1
2021-01-06,None,0,2
2021-11-18,None,0,3
2020-04-08,None,0,4
2021-02-11,None,0,5
2021-03-09,None,0,6
2021-05-12,None,0,7
2021-08-04,None,0,8
2021-09-10,None,0,9
2021-11-15,None,0,10
2021-03-22,None,0,11
2021-05-11,None,0,12
2021-10-15,None,0,13
2020-08-14,None,0,14
2020-08-18,None,0,15
2021-10-25,None,0,16
2020-08-13,None,0,17
2021-03-18,None,0,18
2021-09-07,None,0,19
2020-05-18,None,0,20
2020-10-08,None,0,21
2020-11-07,None,0,22
2020-12-04,None,0,23
2021-01-10,None,0,24
2021-07-17,None,0,25
2021-11-12,None,0,26
2020-09-22,None,0,27
2020-10-15,None,0,28
2021-02-28,None,0,29
2021-10-01,None,0,30
2020-10-02,None,0,31
2020-10-30,None,0,32
2021-03-04,None,0,33
2021-04-17,None,0,34
2021-04-28,None,0,35
2020-10-01,None,0,36
2020-12-05,None,0,37
2021-12-06,None,0,38
2021-12-22,None,0,39
2020-04-05,None,0,40
2021-03-31,None,0,41
2021-08-28,None,0,42
2020-06-18,None,0,43
2020-09-24,None,0,44
2020-11-28,None,0,45
2021-04-25,None,0,46
2021-07-03,None,0,47
2021-10-17,None,0,48
2021-12-11,None,0,49
2020-06-29,None,0,50
2020-10-12,Columbus Day,1,51
2021-05-31,Memorial Day,1,52
2021-11-13,None,0,53
2021-07-14,None,0,54
2021-08-14,None,0,55
2020-05-22,None,0,56
2020-06-15,None,0,57
2020-11-06,None,0,58
2021-05-19,None,0,59
2021-09-14,None,0,60
2021-09-19,None,0,61
2021-10-12,None,0,62
2021-01-15,None,0,63
2021-10-27,None,0,64
2020-06-16,None,0,65
2021-01-12,None,0,66
2021-01-31,None,0,67
2020-06-24,None,0,68
2020-07-12,None,0,69
2020-12-31,New Year’s Eve,1,70
2021-06-10,None,0,71
2020-08-16,None,0,72
2021-01-01,New Year's Day,1,73
2021-02-22,None,0,74
2021-06-16,None,0,75
2020-07-18,None,0,76
2021-03-20,None,0,77
2021-06-30,None,0,78
2020-06-07,None,0,79
2020-08-10,None,0,80
2020-09-07,Labor Day,1,81
2021-05-01,None,0,82
2020-10-18,None,0,83
2021-05-04,None,0,84
2021-11-29,None,0,85
2020-04-16,None,0,86
2021-03-08,None,0,87
2021-04-16,None,0,88
2021-07-24,None,0,89
2021-09-08,None,0,90
2020-08-06,None,0,91
2020-12-23,None,0,92
2021-03-26,None,0,93
2021-12-09,None,0,94
2021-12-21,None,0,95
2020-11-14,None,0,96
2021-05-09,None,0,97
2021-06-07,None,0,98
2020-05-06,None,0,99
2020-10-29,None,0,100
2021-04-07,None,0,101
2021-09-25,None,0,102
2020-04-28,None,0,103
2020-10-26,None,0,104
2021-01-28,None,0,105
2021-05-07,None,0,106
2021-08-03,None,0,107
2021-09-11,None,0,108
2020-05-26,None,0,109
2021-03-10,None,0,110
2020-07-28,None,0,111
2020-09-12,None,0,112
2020-12-28,None,0,113
2021-01-19,None,0,114
2021-03-07,None,0,115
2021-03-28,None,0,116
2020-05-19,None,0,117
2021-11-07,None,0,118
2020-06-27,None,0,119
2020-10-28,None,0,120
2020-09-28,None,0,121
2020-10-22,None,0,122
2021-02-15,Washington's Birthday,1,123
2021-04-27,None,0,124
2021-11-02,None,0,125
2021-02-07,None,0,126
2021-04-01,None,0,127
2021-06-13,None,0,128
2021-06-25,None,0,129
2021-05-24,None,0,130
2021-07-26,None,0,131
2020-06-28,None,0,132
2020-11-27,None,0,133
2021-04-14,None,0,134
2020-08-11,None,0,135
2020-04-24,None,0,136
2021-05-26,None,0,137
2020-05-03,None,0,138
2021-06-19,Juneteenth,1,139
2021-09-21,None,0,140
2020-07-24,None,0,141
2020-10-31,None,0,142
2020-12-12,None,0,143
2021-02-03,None,0,144
2021-09-24,None,0,145
2020-08-02,None,0,146
2021-05-28,None,0,147
2021-07-06,None,0,148
2020-08-20,None,0,149
2020-12-24,Christmas Eve,1,150
2021-09-12,None,0,151
2021-09-22,None,0,152
2021-10-24,None,0,153
2021-01-13,None,0,154
2021-02-05,None,0,155
2020-05-23,None,0,156
2021-04-13,None,0,157
2021-05-20,None,0,158
2021-10-31,None,0,159
2021-12-20,None,0,160
2020-04-27,None,0,161
2020-08-22,None,0,162
2021-07-20,None,0,163
2021-08-17,None,0,164
2020-05-10,None,0,165
2020-09-17,None,0,166
2021-02-20,None,0,167
2021-10-04,None,0,168
2021-12-16,None,0,169
2021-01-18,"Martin Luther King, Jr. Day",1,170
2021-05-17,None,0,171
2021-07-12,None,0,172
2020-05-17,None,0,173
2021-03-24,None,0,174
2020-06-23,None,0,175
2021-02-14,Valentine’s Day,1,176
2021-01-24,None,0,177
2021-07-15,None,0,178
2021-05-06,None,0,179
2020-08-28,None,0,180
2020-07-21,None,0,181
2020-10-27,None,0,182
2021-05-02,Eastern Easter,1,183
2021-06-15,None,0,184
2021-07-19,None,0,185
2020-08-17,None,0,186
2021-05-10,None,0,187
2020-06-06,None,0,188
2021-01-09,None,0,189
2021-02-12,None,0,190
2021-12-10,None,0,191
2021-04-02,None,0,192
2021-05-22,None,0,193
2020-07-20,None,0,194
2020-04-15,None,0,195
2020-10-13,None,0,196
2020-11-22,None,0,197
2021-03-27,None,0,198
2021-06-27,None,0,199
2021-07-04,4th of July,1,200
2021-06-26,None,0,201
2020-06-08,None,0,202
2021-10-29,None,0,203
2020-08-09,None,0,204
2021-12-29,None,0,205
2021-12-30,None,0,206
2020-07-13,None,0,207
2020-12-03,None,0,208
2021-11-25,Thanksgiving Day,1,209
2020-05-13,None,0,210
2020-06-14,None,0,211
2020-11-21,None,0,212
2021-07-13,None,0,213
2020-09-20,None,0,214
2020-11-02,None,0,215
2021-01-29,None,0,216
2021-07-02,None,0,217
2020-12-27,None,0,218
2021-02-13,None,0,219
2021-02-23,None,0,220
2021-04-04,Western Easter,1,221
2021-05-14,None,0,222
2020-08-24,None,0,223
2020-12-16,None,0,224
2021-04-10,None,0,225
2021-06-02,None,0,226
2021-08-02,None,0,227
2021-10-13,None,0,228
2020-10-21,None,0,229
2021-02-08,None,0,230
2020-05-29,None,0,231
2020-12-21,None,0,232
2020-08-31,None,0,233
2020-05-24,None,0,234
2020-07-06,None,0,235
2020-11-30,None,0,236
2020-06-11,None,0,237
2020-08-03,None,0,238
2021-04-15,None,0,239
2021-07-22,None,0,240
2020-10-03,None,0,241
2021-02-09,None,0,242
2020-04-01,None,0,243
2020-10-17,None,0,244
2021-08-27,None,0,245
2020-08-15,None,0,246
2020-09-19,None,0,247
2020-12-13,None,0,248
2021-07-29,None,0,249
2020-04-02,None,0,250
2020-04-18,None,0,251
2020-10-25,None,0,252
2021-03-02,None,0,253
2021-10-10,None,0,254
2021-04-21,None,0,255
2021-08-06,None,0,256
2020-09-16,None,0,257
2021-02-16,None,0,258
2021-10-07,None,0,259
2021-10-21,None,0,260
2021-11-10,None,0,261
2020-06-21,None,0,262
2020-07-27,None,0,263
2020-09-15,None,0,264
2020-11-13,None,0,265
2021-04-24,None,0,266
2020-11-09,None,0,267
2021-01-26,None,0,268
2021-09-20,None,0,269
2021-01-30,None,0,270
2021-08-07,None,0,271
2021-08-20,None,0,272
2021-09-23,None,0,273
2020-04-13,None,0,274
2020-04-19,Eastern Easter,1,275
2021-06-29,None,0,276
2021-07-28,None,0,277
2020-04-21,None,0,278
2020-07-17,None,0,279
2020-08-26,None,0,280
2020-12-08,None,0,281
2020-05-16,None,0,282
2021-02-25,None,0,283
2021-08-05,None,0,284
2021-09-16,None,0,285
2021-10-30,None,0,286
2021-11-03,None,0,287
2021-11-27,None,0,288
2021-08-23,None,0,289
2020-07-04,4th of July,1,290
2020-09-14,None,0,291
2021-12-02,None,0,292
2020-06-09,None,0,293
2021-02-06,None,0,294
2020-07-09,None,0,295
2021-11-19,None,0,296
2020-05-30,None,0,297
2020-07-10,None,0,298
2020-10-24,None,0,299
2021-04-08,None,0,300
2021-12-26,None,0,301
2020-09-27,None,0,302
2021-01-03,None,0,303
2020-07-25,None,0,304
2020-12-07,None,0,305
2021-02-24,None,0,306
2021-05-05,None,0,307
